[2020-11-20 18:11:24.254571][16196:1152][main.cpp:180]debug:Program 0.6.16.6 initialized!
[2020-11-20 18:11:24.255569][16196:1152][main.cpp:198]debug:Compile platforms: Essl 100 .
[2020-11-20 18:11:24.466029][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(18):vs done in 0.001s.
[2020-11-20 18:11:24.467003][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(18):ps done in 0.001s.
[2020-11-20 18:11:24.468998][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(728):vs done in 0.001s.
[2020-11-20 18:11:24.469994][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(728):ps done in 0.002s.
[2020-11-20 18:11:24.472002][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(425):vs done in 0.002s.
[2020-11-20 18:11:24.473984][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(425):ps done in 0.001s.
[2020-11-20 18:11:24.475008][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(34):vs done in 0.002s.
[2020-11-20 18:11:24.476976][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(34):ps done in 0.001s.
[2020-11-20 18:11:24.477973][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(393):vs done in 0.001s.
[2020-11-20 18:11:24.479968][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(393):ps done in 0.001s.
[2020-11-20 18:11:24.480966][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(2):vs done in 0.001s.
[2020-11-20 18:11:24.482960][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(2):ps done in 0.002s.
[2020-11-20 18:11:24.483958][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(283):vs done in 0.001s.
[2020-11-20 18:11:24.485002][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(283):ps done in 0.002s.
[2020-11-20 18:11:24.486963][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(411):vs done in 0.001s.
[2020-11-20 18:11:24.487973][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(411):ps done in 0.002s.
[2020-11-20 18:11:24.489971][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(28):vs done in 0.001s.
[2020-11-20 18:11:24.491937][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(28):ps done in 0.001s.
[2020-11-20 18:11:24.492960][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(299):vs done in 0.001s.
